round,time,val/loss,val/accuracy,val/macro_f1,val/auroc,val/eo_gap,val/fpr_gap,val/sp_gap,val/worst_group_f1,val/worst_group_accuracy,participating_clients,mgda/alphas,pcgrad/num_conflicts,cagrad/rho_used,cagrad/adjustment,duals/lambda_eo,duals/lambda_fpr,duals/lambda_sp,dfbd/avg_tilt,dfbd/eta,dfbd/tilt_std,selector/signal_max,selector/signal_mean,distill/loss,distill/steps,weights/mean,weights/std,weights/max,weights/min,privacy/sa_enabled,privacy/dp_enabled
1,2.6089675426483154,0.7013913492361704,0.466977985323549,0.4261138351155558,0.48087458125078375,0.020830481348292906,6.979280093266375e-09,0.22553247399827192,0.0,0.38105489773950485,9,"[0.49999141058426977, 0.5000076149934672, 9.744222631865176e-07]",0,0.7,0.6979647440360311,2.9152406568755396e-05,0.0,0.001027662423439324,0.9640763401985168,2.0,0.5479719638824463,1.5414895054232327,0.4115553037108232,0.0,300,0.1111111119389534,0.05511048063635826,0.21487955749034882,0.062065836042165756,False,False
2,2.3912951946258545,0.7207123140494028,0.4603068712474983,0.3152124257651896,0.4765464610092976,0.005882043551069138,6.979280093266375e-09,0.21462010851523183,0.0,0.317545748116254,9,"[0.49999029854526916, 0.5000096762588444, 2.519588662309776e-08]",0,0.7,0.6649941679489978,0.0,0.0,0.0020007630810141563,1.1627317667007446,2.0,0.5942857265472412,1.5610600683781666,0.4180968195905638,0.0,300,0.1111111119389534,0.06134685501456261,0.16547223925590515,0.010522739961743355,False,False
3,2.5981035232543945,0.7408199310302734,0.4603068712474983,0.3152124257651896,0.47225148241701154,0.030740344070647185,6.979280093266375e-09,0.11708839502543247,0.0,0.317545748116254,9,"[0.4999906346609802, 0.5000088175969964, 5.477420238595999e-07]",0,0.7,0.640764853402245,7.870171975810081e-05,0.0,0.0024862049613147974,1.226599097251892,2.0,0.5607630610466003,1.5306633143139012,0.4217397141142535,0.0,300,0.1111111268401146,0.06132214516401291,0.20045821368694305,0.037257373332977295,False,False
4,2.358914375305176,0.7523450801769892,0.4603068712474983,0.3152124257651896,0.48984611526128163,0.007053070563726782,6.979280093266375e-09,0.1372799067541427,0.0,0.317545748116254,9,"[0.4999999844639682, 0.49999998463535367, 3.0900678192359134e-08]",0,0.7,0.6292548496538598,3.8967071304796264e-05,0.0,0.003072604537010193,0.9558988213539124,2.0,0.5113803148269653,1.5263297003882257,0.42397895962143806,0.0,300,0.1111111268401146,0.06301509588956833,0.17708103358745575,0.019213560968637466,False,False
5,2.588671922683716,0.7781804998715719,0.4603068712474983,0.3152124257651896,0.4862901058741334,0.008709588616045205,6.979280093266375e-09,0.15281506570830755,0.0,0.317545748116254,9,"[0.499990594841913, 0.500009396196588, 8.96149907044347e-09]",0,0.7,0.6300257396580449,7.5150128395762295e-06,0.0,0.003736679907888174,0.9818815588951111,2.0,0.5562535524368286,1.525526568813498,0.42803449311506614,0.0,300,0.1111111119389534,0.07571709156036377,0.20698370039463043,0.009835951030254364,False,False
6,2.3870129585266113,0.7775329649448395,0.4603068712474983,0.3152124257651896,0.4802457856362301,0.01761805336319011,6.979280093266375e-09,0.18961004073658067,0.0,0.317545748116254,9,"[0.4999834006844049, 0.5000163319717112, 2.6734388487420393e-07]",0,0.7,0.6305914516098236,2.0605279132723808e-05,0.0,0.004584730137139559,0.8164923191070557,2.0,0.4839095175266266,1.5732527481265741,0.4375857233719198,0.0,300,0.1111111119389534,0.07170882076025009,0.22233474254608154,0.011553540825843811,False,False
7,2.474567413330078,0.7243566711743673,0.4603068712474983,0.3152124257651896,0.48879991401085615,0.06811494997740508,6.979280093266375e-09,0.09652213781527075,0.0,0.317545748116254,9,"[0.4999911505138315, 0.5000081975657719, 6.519203968920332e-07]",0,0.7,0.6275098293397213,0.00028618003125302494,0.0,0.004967340733855963,0.8603039979934692,2.0,0.4766194522380829,1.5969889812638716,0.4429392358134133,0.0,300,0.1111111119389534,0.05128749459981918,0.17554768919944763,0.0275021530687809,False,False
8,2.4324567317962646,0.7709330568710963,0.4603068712474983,0.3152124257651896,0.49767202307375363,0.0158433796361257,6.979280093266375e-09,0.19484808803033765,0.0,0.317545748116254,9,"[0.5000051200205955, 0.4999948730146045, 6.964800056050535e-09]",0,0.7,0.6294344986329757,0.000290396943455562,0.0,0.005841581150889397,1.1355887651443481,2.0,0.6037313938140869,1.6343032162467406,0.44619152785431143,0.0,300,0.1111111268401146,0.07401472330093384,0.20170021057128906,0.0068549043498933315,False,False
9,2.3795430660247803,0.7860213468472163,0.4603068712474983,0.3152124257651896,0.4984566740115727,0.004248922572833491,6.979280093266375e-09,0.21926527485530378,0.0,0.317545748116254,9,"[0.49999336295457847, 0.500006353084864, 2.839605588118991e-07]",0,0.7,0.6294737218327691,0.00023664155742153525,0.0,0.006837907247245312,1.0578947067260742,2.0,0.5932581424713135,1.6252962646453246,0.4455591375934629,0.0,300,0.1111111268401146,0.056060854345560074,0.17116372287273407,0.046680331230163574,False,False
10,2.6065213680267334,0.7629207819700241,0.4603068712474983,0.3152124257651896,0.4977786137833432,0.01805791955762104,6.979280093266375e-09,0.1305093181332777,0.0,0.317545748116254,9,"[0.4999857682700207, 0.5000142202864061, 1.1443573186853337e-08]",0,0.7,0.6283049570266027,0.00025193116744048893,0.0,0.0073904539458453655,1.003824234008789,2.0,0.5560511946678162,1.6544099970136723,0.4495612546214238,0.0,300,0.1111111268401146,0.05255861207842827,0.16965679824352264,0.03777887672185898,False,False
