round,time,val/loss,val/accuracy,val/macro_f1,val/auroc,val/eo_gap,val/fpr_gap,val/sp_gap,val/worst_group_f1,val/worst_group_accuracy
0,0.4307277202606201,0.6965082188447317,0.5110073382254836,0.5064527358602862,0.4910920621271565,0.02390045054709289,0.047949526813880095,0.02510528204256607,0.3826815593899613,0.48947368421052634
1,0.4149155616760254,0.6965758353471756,0.5196797865243495,0.4826574633304572,0.49834291753999393,0.0047629264106415214,0.04647138350608379,0.014560081581780071,0.2893309172542339,0.4263157894736842
2,0.4006044864654541,0.6995733827352524,0.5276851234156104,0.4557409937353075,0.5020323892441912,0.015318601158549688,0.054691302388463287,0.012418559854965733,0.21598271674915692,0.39473684210526316
3,0.5520641803741455,0.7039174288511276,0.5383589059372915,0.4412188048110943,0.5039590834990416,0.029049560180218828,0.030022532672374938,0.008586860045700917,0.16748768074777365,0.37894736842105264
4,0.4835526943206787,0.7078855484724045,0.5390260173448966,0.41780518170244696,0.5047455258773581,0.014846599442179795,0.019161784587652095,0.004156516155836315,0.12938005064363098,0.3543859649122807
5,0.4336395263671875,0.7099537203709284,0.533689126084056,0.3928315013411817,0.5059153365220975,0.015833512121862264,0.010085624155024786,0.002598530772571904,0.08045976752824027,0.3350877192982456
6,0.4800081253051758,0.7119099746147791,0.5310206804536357,0.3721737161785777,0.5067716450798087,0.00012872774082815092,0.004704821991888236,0.002587199969784529,0.05454545264591375,0.3140350877192982
7,0.5546226501464844,0.713401863972346,0.5303535690460307,0.3602219376867264,0.5073556546819297,0.001759279124651363,0.0029743127534925633,0.00761241100598644,0.029556649717658763,0.3087719298245614
8,0.45338964462280273,0.7127804160118103,0.5310206804536357,0.35811287816353243,0.5077157342218879,0.00502038189229779,0.0017575484452456054,0.0022302796819821356,0.019047617857193323,0.3087719298245614
9,0.45540642738342285,0.7134330223004023,0.5343562374916611,0.358402380216535,0.5073986492538651,0.0024887363226775375,0.0033618747183415953,0.003187732517515531,0.01929260352436394,0.3105263157894737
10,0.439068078994751,0.7124643822511038,0.5350233488992662,0.3574622537832315,0.5068612171046738,4.290924694271524e-05,0.00020730058584948058,0.0027892659528260914,0.019417474861805003,0.3087719298245614
11,0.4208226203918457,0.7132232387860616,0.5363575717144763,0.35427377842238533,0.5072374196091077,0.0042051062003861835,0.00038756196484903034,0.00016051970615451466,0.006600659551460136,0.3087719298245614
12,0.5083484649658203,0.7116773078838984,0.5370246831220814,0.354565601516821,0.5069337704448147,0.0042051062003861835,0.005326723749436684,0.0015938662587577654,0.006600659551460136,0.3105263157894737
13,0.4977579116821289,0.712002823750178,0.5383589059372915,0.3525694798126567,0.507180093513194,0.005063291139240506,0.006309148264984227,0.0007969331293788827,0.0,0.3105263157894737
14,0.4767153263092041,0.7115362187226614,0.5390260173448966,0.35285598702974225,0.5068361369377117,0.005063291139240506,0.00473186119873817,0.0002794931354219779,0.0,0.3105263157894737
15,0.46743083000183105,0.7119863033294678,0.5390260173448966,0.35285598702974225,0.507887712509629,0.005063291139240506,0.00473186119873817,0.0002794931354219779,0.0,0.3105263157894737
16,0.43997955322265625,0.7124465505282084,0.5390260173448966,0.35285598702974225,0.5076745310904498,0.005063291139240506,0.00473186119873817,0.0002794931354219779,0.0,0.3105263157894737
17,0.470318078994751,0.7130536288022995,0.5396931287525016,0.3531422610470701,0.5081761344296949,0.005063291139240506,0.0031545741324921135,0.0013559194002228394,0.0,0.3105263157894737
18,0.40091371536254883,0.712524468700091,0.5396931287525016,0.3531422610470701,0.5078841296286344,0.005063291139240506,0.0031545741324921135,0.0013559194002228394,0.0,0.3105263157894737
19,0.3979477882385254,0.712842270731926,0.5396931287525016,0.3531422610470701,0.5085971229465613,0.005063291139240506,0.0031545741324921135,0.0013559194002228394,0.0,0.3105263157894737
