algorithm,dataset,test/accuracy,test/macro_f1,test/worst_group_f1,test/eo_gap,test/sp_gap
afl,adult,0.5296 ± 0.0126,0.4052 ± 0.0556,0.1106 ± 0.1183,0.0183 ± 0.0248,0.0152 ± 0.0196
afl,compas,0.5136 ± 0.0155,0.4686 ± 0.0690,0.3031 ± 0.1858,0.0293 ± 0.0369,0.0225 ± 0.0209
afl,synthetic,0.5136 ± 0.0155,0.4686 ± 0.0690,0.3031 ± 0.1858,0.0293 ± 0.0369,0.0225 ± 0.0209
faircare_fl,adult,0.4599 ± 0.0003,0.3150 ± 0.0001,0.4516 ± 0.0000,0.0005 ± 0.0010,0.0003 ± 0.0007
faircare_fl,compas,0.4908 ± 0.0404,0.3733 ± 0.0795,0.3811 ± 0.1431,0.0187 ± 0.0230,0.0136 ± 0.0172
faircare_fl,synthetic,0.4908 ± 0.0404,0.3733 ± 0.0795,0.3811 ± 0.1431,0.0187 ± 0.0230,0.0136 ± 0.0172
fairfed,adult,0.5296 ± 0.0126,0.4052 ± 0.0556,0.1106 ± 0.1183,0.0183 ± 0.0248,0.0152 ± 0.0196
fairfed,compas,0.5136 ± 0.0155,0.4686 ± 0.0690,0.3031 ± 0.1858,0.0293 ± 0.0369,0.0225 ± 0.0209
fairfed,synthetic,0.5136 ± 0.0155,0.4686 ± 0.0690,0.3031 ± 0.1858,0.0293 ± 0.0369,0.0225 ± 0.0209
fedavg,adult,0.5296 ± 0.0126,0.4052 ± 0.0556,0.1106 ± 0.1183,0.0183 ± 0.0248,0.0152 ± 0.0196
fedavg,compas,0.5136 ± 0.0155,0.4686 ± 0.0690,0.3031 ± 0.1858,0.0293 ± 0.0369,0.0225 ± 0.0209
fedavg,synthetic,0.5136 ± 0.0155,0.4686 ± 0.0690,0.3031 ± 0.1858,0.0293 ± 0.0369,0.0225 ± 0.0209
fedprox,adult,0.5296 ± 0.0126,0.4052 ± 0.0556,0.1106 ± 0.1183,0.0183 ± 0.0248,0.0152 ± 0.0196
fedprox,compas,0.5136 ± 0.0155,0.4686 ± 0.0690,0.3031 ± 0.1858,0.0293 ± 0.0369,0.0225 ± 0.0209
fedprox,synthetic,0.5136 ± 0.0155,0.4686 ± 0.0690,0.3031 ± 0.1858,0.0293 ± 0.0369,0.0225 ± 0.0209
qffl,adult,0.5296 ± 0.0126,0.4052 ± 0.0556,0.1106 ± 0.1183,0.0183 ± 0.0248,0.0152 ± 0.0196
qffl,compas,0.5136 ± 0.0155,0.4686 ± 0.0690,0.3031 ± 0.1858,0.0293 ± 0.0369,0.0225 ± 0.0209
qffl,synthetic,0.5136 ± 0.0155,0.4686 ± 0.0690,0.3031 ± 0.1858,0.0293 ± 0.0369,0.0225 ± 0.0209
