algorithm,dataset,seed,test/loss,test/accuracy,test/macro_f1,test/auroc,test/eo_gap,test/fpr_gap,test/sp_gap,test/worst_group_f1,test/worst_group_accuracy
afl,adult,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
faircare_fl,adult,0.0,22.404122639269,-13.167170191339373,-22.25310541374587,-0.2686143423951131,97.45241581259147,100.0,97.82079376673978,308.41769821954654,-13.599330265540962
fairfed,adult,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fedprox,adult,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qffl,adult,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
afl,compas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
faircare_fl,compas,0.0,21.91980991271073,-4.439252336448606,-20.337833216776307,-7.100080510311519,36.206896551724185,75.94722598105548,39.53207547169818,25.738760376357394,-21.788216973786643
fairfed,compas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fedprox,compas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qffl,compas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
afl,synthetic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
faircare_fl,synthetic,0.0,21.91980991271073,-4.439252336448606,-20.337833216776307,-7.100080510311519,36.206896551724185,75.94722598105548,39.53207547169818,25.738760376357394,-21.788216973786643
fairfed,synthetic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fedprox,synthetic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qffl,synthetic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
