round,time,val/loss,val/accuracy,val/macro_f1,val/auroc,val/eo_gap,val/fpr_gap,val/sp_gap,val/worst_group_f1,val/worst_group_accuracy
0,0.11977887153625488,0.702933058142662,0.466,0.33040752351097175,0.4959204364408825,0.021052631578947323,0.0010670081092616357,0.012233928541986128,0.4856396829283723,0.32764505119453924
1,0.1567554473876953,0.698467418551445,0.452,0.33996261394076044,0.4934340752184618,0.014860681114551078,0.026034997865983844,0.013602413810159808,0.46933332952519113,0.32081911262798635
2,0.14035844802856445,0.6962525695562363,0.466,0.39526814308816405,0.4949870451729188,0.05232198142414868,0.053919476454687754,0.0507823448912631,0.4791086311788395,0.36177474402730375
3,0.1365678310394287,0.6949919015169144,0.474,0.4242330039274753,0.49640322502776035,0.0006965944272445679,0.05975245411865138,0.02657829219633645,0.46198830005420477,0.3720136518771331
4,0.14334774017333984,0.6942685544490814,0.478,0.4455278956827655,0.49695038542622183,0.05317337461300309,0.10385545596813206,0.06974328535391017,0.4638554175734868,0.3924914675767918
5,0.1440446376800537,0.6938273906707764,0.502,0.48570507974669425,0.49799642736445715,0.09094427244582048,0.10755441741357241,0.0759426884964799,0.4777070021187472,0.4402730375426621
6,0.1297445297241211,0.693506509065628,0.498,0.4922954314679741,0.4990827016849322,0.08761609907120738,0.13650590411153796,0.0932218759789617,0.4542372837382362,0.45051194539249145
7,0.1269843578338623,0.6933246701955795,0.488,0.4863893168977915,0.49899419044400456,0.10851393188854497,0.10513586569924604,0.09858040263144874,0.4412811342830005,0.4641638225255973
8,0.14059877395629883,0.6931905895471573,0.488,0.48759827704920655,0.4989459115853168,0.04837461300309592,0.07561530800967425,0.06240622578358146,0.39682539209656087,0.4812286689419795
9,0.1474902629852295,0.6930960565805435,0.482,0.47611361255061874,0.49859186662160637,0.05975232198142416,0.022976241286100485,0.05295873110088867,0.36842104773815026,0.4444444444444444
10,0.1252145767211914,0.6930416822433472,0.49,0.4748223663886314,0.4985918666216064,0.037538699690402466,0.008607198748043832,0.03442647277044075,0.3381642462087797,0.42995169082125606
11,0.14452099800109863,0.6929731965065002,0.528,0.4878472222222223,0.498237821657896,0.008978328173374628,0.05135865699245984,0.01983479250136025,0.30057802969561304,0.4444444444444444
12,0.14135169982910156,0.6929082423448563,0.524,0.42668285444489407,0.4978837766941856,0.044427244582043335,0.04282259211836677,0.04189543453529207,0.1783439467045316,0.37681159420289856
13,0.18869495391845703,0.6928643882274628,0.528,0.3804603494623656,0.4980768921289367,0.03777089783281734,0.018352539479300045,0.005358526652487178,0.036697245460819934,0.3671497584541063
14,0.15947675704956055,0.6928039044141769,0.538,0.3575302461410096,0.4985757736687104,0.014705882352941176,0.010101010101010102,0.002835897182239369,0.0,0.3526570048309179
15,0.1574265956878662,0.6927652060985565,0.538,0.34980494148244473,0.4991551199729638,0.0,0.0,0.0,0.0,0.34299516908212563
16,0.1617748737335205,0.6927354782819748,0.538,0.34980494148244473,0.49929995654902715,0.0,0.0,0.0,0.0,0.34299516908212563
17,0.14818263053894043,0.6927008032798767,0.538,0.34980494148244473,0.49907465520848415,0.0,0.0,0.0,0.0,0.34299516908212563
18,0.14811229705810547,0.69266776740551,0.538,0.34980494148244473,0.4997264198007692,0.0,0.0,0.0,0.0,0.34299516908212563
19,0.14414620399475098,0.692637175321579,0.538,0.34980494148244473,0.4998793028532805,0.0,0.0,0.0,0.0,0.34299516908212563
