round,time,val/loss,val/accuracy,val/macro_f1,val/auroc,val/eo_gap,val/fpr_gap,val/sp_gap,val/worst_group_f1,val/worst_group_accuracy
0,0.15826940536499023,0.71054707467556,0.466,0.33040752351097175,0.4964354109335522,0.021052631578947323,0.0010670081092616357,0.012233928541986128,0.4856396829283723,0.32764505119453924
1,0.14227700233459473,0.7091815918684006,0.46,0.3495981962189975,0.49360305122386905,0.006191950464396245,0.01593398776497368,0.013602413810159808,0.47999999619128886,0.33447098976109213
2,0.14325356483459473,0.7091186344623566,0.462,0.38291146500029827,0.49162361801767007,0.03026315789473688,0.02176696542893719,0.02862277621143916,0.47645428972429615,0.35494880546075086
3,0.1340484619140625,0.7101709544658661,0.466,0.39712516765339434,0.49104427171341664,0.02391640866873057,0.04886897140418267,0.03571251916703766,0.4719101084201806,0.3583617747440273
4,0.13480567932128906,0.7123670428991318,0.476,0.41454083912833617,0.48946716232961585,0.031269349845201244,0.056835965286669454,0.036553395657120236,0.47727272330465526,0.3720136518771331
5,0.1266164779663086,0.7152203321456909,0.47,0.40697575537861796,0.48779349522843946,0.020743034055727638,0.06693697538767962,0.03996636494039674,0.47025495354653357,0.36177474402730375
6,0.16248607635498047,0.7183267623186111,0.47,0.4034514274394334,0.4862002928917427,0.02391640866873057,0.07703798548868968,0.04537435491582997,0.4719101084201806,0.3583617747440273
7,0.1514577865600586,0.7220390290021896,0.466,0.39337759177719916,0.4856853183990731,0.009210526315789447,0.03983496941243425,0.02463273482712569,0.4705882313618781,0.35494880546075086
8,0.15636825561523438,0.7259470820426941,0.47,0.3900726849230571,0.4848484848484848,0.026083591331269362,0.035851472471190804,0.027204827620319505,0.48066297952763964,0.3583617747440273
9,0.1422569751739502,0.7297190874814987,0.468,0.3804039952295767,0.4831587247944125,0.021904024767801844,0.0013515436050647311,0.009876176814891724,0.4835164796324417,0.3583617747440273
10,0.14208030700683594,0.7336703538894653,0.466,0.3654912808520953,0.48274030801911844,0.03877708978328176,0.00981647460520707,0.02268717745791493,0.48924730799846805,0.3515358361774744
11,0.19039320945739746,0.7368059605360031,0.464,0.3619047619047619,0.4816138013164036,0.03877708978328176,0.014866979655712043,0.026100146741191432,0.4879356530138217,0.34812286689419797
12,0.18082141876220703,0.7386435717344284,0.466,0.363069480293322,0.480857432530295,0.049303405572755477,0.014866979655712043,0.029513116024467823,0.4919786058095742,0.3515358361774744
13,0.19256806373596191,0.7413826584815979,0.47,0.35779060580945043,0.47960218220441264,0.012538699690402444,0.010883482714468706,0.007353547344643885,0.4893616983251754,0.3447098976109215
14,0.1598196029663086,0.7418067455291748,0.468,0.3513966916354557,0.47945734562834935,0.005185758513931882,0.001849480722720176,0.0011046808791280727,0.4880636566817469,0.3412969283276451
15,0.15871977806091309,0.7433488368988037,0.47,0.3497730339835603,0.4780572587264037,0.008359133126935037,0.012235026319533437,0.0051441855863876285,0.49206348827426444,0.3447098976109215
16,0.1613633632659912,0.7434855103492737,0.468,0.3459359509009364,0.47799288691482,0.008359133126935037,0.007184521269028354,0.0017312163031112382,0.4907651677214724,0.3412969283276451
17,0.14936351776123047,0.7438121885061264,0.468,0.3459359509009364,0.476673264777354,0.008359133126935037,0.007184521269028354,0.0017312163031112382,0.4907651677214724,0.3412969283276451
18,0.173492431640625,0.7439523488283157,0.466,0.3420760826175022,0.47668935773024995,0.008359133126935037,0.0021340162185232714,0.001681752980165263,0.48947368043476464,0.3378839590443686
19,0.15769457817077637,0.7443249076604843,0.468,0.3431320255240127,0.4776227489982137,0.018885448916408643,0.0021340162185232714,0.005094722263441653,0.4934383164406418,0.3412969283276451
