round,time,val/loss,val/accuracy,val/macro_f1,val/auroc,val/eo_gap,val/fpr_gap,val/sp_gap,val/worst_group_f1,val/worst_group_accuracy
0,0.3709144592285156,0.6973005277769906,0.54875,0.38693934562992616,0.488895613089497,0.016271620755925687,0.01443751443751444,0.017443476799141402,0.05263157748614962,0.3363914373088685
1,0.25403833389282227,0.6982962914875576,0.54375,0.42870446999622397,0.49110199141403643,0.004003843689942332,0.019173019173019168,0.004564527286951017,0.16042780370613982,0.363914373088685
2,0.25541138648986816,0.6998505336897713,0.525,0.43979242835240007,0.4927284074361254,0.025272261370916066,0.06179256179256179,0.04186305125071926,0.20720720252982722,0.3761467889908257
3,0.24047565460205078,0.7017538632665362,0.5275,0.46676071239640277,0.49254559323209207,0.008007687379884665,0.046142296142296146,0.022040330766594896,0.24691357534251226,0.4036697247706422
4,0.23239827156066895,0.7038123948233468,0.535,0.48556256223033517,0.4918269442920993,0.02661755285073672,0.057547932547932557,0.02717380763038965,0.28793773820829993,0.42201834862385323
5,0.2134392261505127,0.7054394909313747,0.5275,0.4832924387093246,0.49233125933770827,0.008680333119794992,0.03710441210441212,0.015393965255283804,0.28136881629226973,0.42201834862385323
6,0.2751286029815674,0.7066173723765782,0.5325,0.49195481929756635,0.4924573380991106,0.01665598975016014,0.030492030492030475,0.011618208972593413,0.2996254631542034,0.42813455657492355
7,0.3560822010040283,0.7073425309998649,0.5325,0.4950006413761908,0.4922556120808669,0.02197309417040355,0.029885654885654894,0.013014721570300813,0.3088235243933824,0.43119266055045874
8,0.24914312362670898,0.7078519122941154,0.53125,0.4947581154477707,0.49228713177121747,0.005861627162075611,0.035891660891660876,0.009012678524093098,0.30036629534758286,0.43730886850152906
9,0.2466895580291748,0.7079037427902222,0.53,0.49592449592449594,0.4919404151773613,0.02729019859064702,0.022666897666897667,0.01346729509733563,0.31654675756741374,0.43119266055045874
10,0.2297348976135254,0.7077553357396807,0.5275,0.4925323040778654,0.4920286703103429,0.013004484304932729,0.01004851004851004,0.004066696407212744,0.3054545404339835,0.42813455657492355
11,0.23542332649230957,0.707281870501382,0.5275,0.49463889408807726,0.4927788389406863,0.02280589365791158,0.006179256179256132,0.0012348791951949378,0.31654675756741374,0.42507645259938837
12,0.25153589248657227,0.7070411614009312,0.525,0.4912678809299088,0.4924384262849002,0.0201473414477899,0.006179256179256132,0.002178818265867577,0.31046930905759235,0.42201834862385323
13,0.2161235809326172,0.7065588661602565,0.52,0.48447726128545066,0.49280720666200173,0.003203074951953877,0.03141603141603144,0.011450110233980515,0.2941176420415225,0.41284403669724773
14,0.2609672546386719,0.7061139174870082,0.51875,0.4797640020336499,0.49366139027050193,0.02088404868673932,0.030809655809655778,0.020133056616948253,0.2716981082030616,0.41284403669724773
15,0.23448538780212402,0.7056825160980225,0.51875,0.4805291181981782,0.4934218406238377,0.013741191543882147,0.040425040425040415,0.02107699568762078,0.27819548371473796,0.40978593272171254
16,0.26887941360473633,0.705218425818852,0.5175,0.4795599180239457,0.49359204695173076,0.013741191543882147,0.050040425040424996,0.024135099663155968,0.27819548371473796,0.40672782874617736
17,0.24933505058288574,0.704695965562548,0.52,0.48447726128545066,0.49376225327962375,0.00842408712363868,0.05665280665280664,0.026966916875173774,0.28996282026561276,0.40978593272171254
18,0.24773263931274414,0.7042662586484637,0.5175,0.4772445642237556,0.4942854801394431,0.011915438821268443,0.033812658812658825,0.016131013570740427,0.2727272677249771,0.40672782874617736
19,0.23905587196350098,0.703895126070295,0.5175,0.47565390440871824,0.4944809022196166,0.014573991031390121,0.039818664818664806,0.01941540430979305,0.26819922872242047,0.4036697247706422
