round,time,val/loss,val/accuracy,val/macro_f1,val/auroc,val/eo_gap,val/fpr_gap,val/sp_gap,val/worst_group_f1,val/worst_group_accuracy,participating_clients,mgda/alphas,pcgrad/num_conflicts,cagrad/rho_used,cagrad/adjustment,duals/lambda_eo,duals/lambda_fpr,duals/lambda_sp,dfbd/avg_tilt,dfbd/eta,dfbd/tilt_std,selector/signal_max,selector/signal_mean,distill/loss,distill/steps,weights/mean,weights/std,weights/max,weights/min,privacy/sa_enabled,privacy/dp_enabled
1,9.312080144882202,0.697636142373085,0.4743162108072048,0.41341562249219355,0.5109412228372835,0.018899051736831596,0.0030959751314830965,0.11617978787320576,0.0,0.37244348762109797,10,"[0.4999959716674098, 0.5000039357366151, 9.259597576505651e-08]",0,0.7,0.9837793236118023,0.0005848577711731195,0.0,0.014426968060433865,0.7275968194007874,2.0,0.4658735990524292,1.0721029863187244,0.3294133496811347,0.0,300,0.09999999403953552,0.04437854140996933,0.16679935157299042,0.032656438648700714,False,False
2,7.600741147994995,0.6991351842880249,0.45830553702468313,0.3443203316569488,0.5099971336952043,0.0162758461337279,1.0061919503008513e-10,0.1317024645155762,0.0,0.32508073196986004,10,"[0.5000017809587747, 0.49999819543519874, 2.360602682079245e-08]",0,0.7,0.9755967021104094,0.0007762346649542451,0.0,0.031182337552309036,0.7590017914772034,2.0,0.5048490166664124,1.1102528232336044,0.32982545857876544,0.0,300,0.10000000149011612,0.04946764186024666,0.17126406729221344,0.02385617233812809,False,False
3,5.677170753479004,0.7017792016267776,0.4616410940627085,0.3272385700247094,0.4948433385285108,0.02477763659212745,1.0061919503008513e-10,0.133514073947677,0.0,0.31969860064585576,10,"[0.500003244016167, 0.4999966833288204, 7.265501289993561e-08]",0,0.7,0.9846157794780922,0.0022428801748901606,0.0,0.048209451138973236,0.7491403222084045,2.0,0.537817656993866,1.1273388534103121,0.3281660866471806,0.0,300,0.09999999403953552,0.05925046280026436,0.20300540328025818,0.02510155364871025,False,False
4,5.958134174346924,0.7077744255463282,0.46230820547031354,0.31933959500448444,0.4889145662026836,0.012060655063867554,1.0061919503008513e-10,0.12066467711703927,0.0,0.3207750269106566,10,"[0.5000126512066365, 0.4999873446877225, 4.105641214397418e-09]",0,0.7,0.9849486284505192,0.0018019784474745393,0.0,0.06330915540456772,0.8393123745918274,2.0,0.5732996463775635,1.1200164741345815,0.32536857054415297,0.0,300,0.10000000894069672,0.0485311821103096,0.16518381237983704,0.021139290183782578,False,False
5,5.678364515304565,0.7191458096106847,0.4603068712474983,0.3152124257651896,0.485161498360832,0.020107742549306917,1.0061919503008513e-10,0.1185126028032032,0.0,0.317545748116254,10,"[0.4999987424293915, 0.500000939995667, 3.1757494251174055e-07]",0,0.7,0.9842828454903199,0.0025681396946310997,0.0,0.07808604836463928,0.6501940488815308,2.0,0.4742736220359802,1.1277840076533385,0.32210105650944687,0.0,300,0.10000000149011612,0.03967935964465141,0.17014384269714355,0.026898907497525215,False,False
6,5.377502918243408,0.7417819301287333,0.4603068712474983,0.3152124257651896,0.48289890901273713,0.016925871861375452,0.0023219813247814594,0.11061325711231818,0.0,0.317545748116254,10,"[0.5000012275585204, 0.4999987568979401, 1.5543539503106216e-08]",0,0.7,0.9824955094319936,0.00285702059045434,0.0,0.09167803823947906,0.6636728048324585,2.0,0.47010043263435364,1.1183312896643196,0.32161316283159835,0.0,300,0.10000000894069672,0.04569132998585701,0.19667023420333862,0.029301822185516357,False,False
7,5.4731597900390625,0.7953175057967504,0.4603068712474983,0.3152124257651896,0.48662420952688057,0.019467167922334272,0.006965944366229673,0.102912866208268,0.0,0.317545748116254,10,"[0.46229908172795003, 0.4761223081088703, 0.061578610163179164]",0,0.7,0.9932925386005698,0.0035270957741886377,0.0,0.10411496460437775,0.6534546613693237,2.0,0.4731868803501129,1.104437270653403,0.3158824122915702,0.0,300,0.09999999403953552,0.04543135687708855,0.19577661156654358,0.025301309302449226,False,False
8,5.9910173416137695,nan,0.5396931287525016,0.35051993067590986,0.5,0.007783506776003202,0.02167182671474377,0.09205441833593542,0.0,0.30701754385964913,10,"[0.36025922964445833, 0.41889918559402856, 0.22084158476151203]",0,0.7,0.9912873110084633,0.00244462164118886,0.0010007739765569568,0.11492312699556351,0.7957684993743896,2.0,0.5930472016334534,1.0853342148804357,0.30843441061140614,0.0,300,0.10000000149011612,0.0340716727077961,0.16892977058887482,0.06498298794031143,False,False
9,7.51439356803894,nan,0.5396931287525016,0.35051993067590986,0.5,0.026719312797186145,1.0061919503008513e-10,0.12473344261652963,0.0,0.30701754385964913,10,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",0,0.7,nan,0.0042025186121463776,0.0,0.130633145570755,nan,2.0,nan,1.0729026120135507,nan,0.0,300,nan,nan,nan,nan,False,False
10,7.3971662521362305,nan,0.5396931287525016,0.35051993067590986,0.5,0.010335304060427875,1.0061919503008513e-10,0.11580009247020961,0.0,0.30701754385964913,10,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",0,0.7,nan,0.0035028140991926193,0.0,0.14500315487384796,nan,2.0,nan,1.0551736311053197,nan,0.0,300,nan,nan,nan,nan,False,False
11,6.535346269607544,nan,0.5396931287525016,0.35051993067590986,0.5,0.006502357522058022,1.0061919503008513e-10,0.10541661412411152,0.0,0.30701754385964913,10,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",0,0.7,nan,0.002228167839348316,0.0,0.15781565010547638,nan,2.0,nan,nan,nan,0.0,300,nan,nan,nan,nan,False,False
12,6.842603445053101,nan,0.5396931287525016,0.35051993067590986,0.5,0.005148749826642873,1.0061919503008513e-10,0.0973659507080108,0.0,0.30701754385964913,10,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",0,0.7,nan,0.000750480336137116,0.0,0.1694205403327942,nan,2.0,nan,1.0337255537406496,nan,0.0,300,nan,nan,nan,nan,False,False
13,7.366295337677002,nan,0.5396931287525016,0.35051993067590986,0.5,0.011254161107023541,1.0061919503008513e-10,0.1039945077253221,0.0,0.30701754385964913,10,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",0,0.7,nan,0.000188604521099478,0.0,0.18201971054077148,nan,2.0,nan,1.0212940069769694,nan,0.0,300,nan,nan,nan,nan,False,False
