round,time,val/loss,val/accuracy,val/macro_f1,val/auroc,val/eo_gap,val/fpr_gap,val/sp_gap,val/worst_group_f1,val/worst_group_accuracy,participating_clients,mgda/alphas,pcgrad/num_conflicts,cagrad/rho_used,cagrad/adjustment,duals/lambda_eo,duals/lambda_fpr,duals/lambda_sp,dfbd/avg_tilt,dfbd/eta,dfbd/tilt_std,selector/signal_max,selector/signal_mean,distill/loss,distill/steps,weights/mean,weights/std,weights/max,weights/min,privacy/sa_enabled,privacy/dp_enabled
1,1.0648157596588135,0.6969178766012192,0.494,0.4823529411764706,0.5058336954247735,0.01385090138870182,0.06816727282626177,0.2974024799979739,0.0,0.4197952218430034,10,"[0.5000033566292598, 0.49999661047377925, 3.2896961198475553e-08]",0,0.7,0.8556767622417418,0.0,0.0002658363664522767,0.0013870124239474535,0.70535808801651,2.0,0.47144731879234314,1.2320238018035887,0.31382287477701903,0.0,300,0.10000000149011612,0.04177798330783844,0.15515297651290894,0.035216979682445526,False,False
2,1.2808303833007812,0.7169740349054337,0.462,0.3191907227714253,0.48562094658748933,0.030221925788393222,0.011673142892954142,0.2579893986008801,0.0,0.32764505119453924,10,"[0.5000041014232111, 0.4999958516102835, 4.696650578972816e-08]",0,0.7,0.8172448759794868,7.61096307542175e-05,0.00024920207215473056,0.0025769593194127083,0.8380942344665527,2.0,0.5854322910308838,1.2199437421560286,0.31261007966101173,0.0,300,0.10000000149011612,0.06744334846735,0.21244032680988312,0.028403390198946,False,False
3,1.6934559345245361,0.7628859579563141,0.462,0.31600547195622436,0.48394727948631294,0.025044931155910555,0.0409299189526225,0.2731319469165558,0.0,0.3242320819112628,10,"[0.5000016332425169, 0.49999830850478777, 5.825269542986794e-08]",0,0.7,0.7660530218208652,0.0001263342855963856,0.00037885166238993406,0.003842619014903903,0.6511224508285522,2.0,0.47395703196525574,1.2150507990717887,0.3089401301443576,0.0,300,0.10000000149011612,0.04988933727145195,0.15612080693244934,0.028450073674321175,False,False
4,1.3547306060791016,0.890826016664505,0.462,0.31600547195622436,0.45563977534237754,0.02582636425121898,0.11106733474672466,0.2831605080079726,0.0,0.3242320819112628,10,"[0.5000004133843661, 0.4999995829081546, 3.707479420841068e-09]",0,0.7,0.7350398758927633,0.00018046610057353973,0.0008591883233748376,0.005158421583473682,0.6683446168899536,2.0,0.47121477127075195,1.2859657144725323,0.31399710147147997,0.0,300,0.10000000149011612,0.060855455696582794,0.23020321130752563,0.0264776311814785,False,False
5,1.3444840908050537,1.1473104059696198,0.462,0.31600547195622436,0.47538582854567984,0.03623896092311929,0.09752253718489168,0.23563580659266636,0.0,0.3242320819112628,10,"[0.5000002347360903, 0.49999974674303294, 1.8520876482911226e-08]",0,0.7,0.6959104278868209,0.00028666091384366155,0.0012718010693788528,0.006236600689589977,0.7491281628608704,2.0,0.508717954158783,1.3411826305550336,0.3232434389532823,0.0,300,0.09999998658895493,0.07016205042600632,0.19840551912784576,0.020224569365382195,False,False
6,1.383378505706787,1.3363471031188965,0.462,0.31600547195622436,0.49971837332432134,0.028717667004711678,0.08683446139226922,0.2218762862521122,0.0,0.3242320819112628,10,"[0.5000008520902578, 0.49999913059923784, 1.7310504563546094e-08]",0,0.7,0.7027530645767256,0.00035524924169294536,0.0016309733036905527,0.007245982065796852,0.6505285501480103,2.0,0.47415727376937866,1.3503859134580491,0.3354172746078875,0.0,300,0.10000000894069672,0.0686635673046112,0.19539937376976013,0.017101123929023743,False,False
7,1.4495854377746582,1.3494386672973633,0.462,0.31600547195622436,0.4967250840856789,0.03328905076269151,0.08683446139226922,0.23283758715581337,0.0,0.3242320819112628,10,"[0.5000024828543768, 0.4999973721332659, 1.4501235755276928e-07]",0,0.7,0.6858141955129435,0.00044669449562206864,0.0019901455380022526,0.008310169912874699,0.650123655796051,2.0,0.47429823875427246,1.3955497802554784,0.35273002289361205,0.0,300,0.09999999403953552,0.07040499895811081,0.19479897618293762,0.014540515840053558,False,False
8,1.313843011856079,1.4848204553127289,0.462,0.31600547195622436,0.4871336841597065,0.04057591505335845,0.09072551194564626,0.20226945223211573,0.0,0.3242320819112628,10,"[0.5000013431183734, 0.4999983784957745, 2.783858532005953e-07]",0,0.7,0.6998936964005777,0.0005745740490965545,0.00236877310089767,0.009221517480909824,0.7091606259346008,2.0,0.4892144203186035,1.4545739684038654,0.3690168060358511,0.0,300,0.10000000149011612,0.07549839466810226,0.21819812059402466,0.01962864026427269,False,False
9,1.4663562774658203,1.3830452263355255,0.462,0.31600547195622436,0.4811149197766298,0.031003358883701537,0.08683446139226922,0.22735693670396273,0.0,0.3242320819112628,10,"[0.500001541274754, 0.4999983609292475, 9.779599888052985e-08]",0,0.7,0.6984451874438599,0.0006545908399857581,0.0027279453352093697,0.010258302092552185,0.6705751419067383,2.0,0.46907079219818115,1.5199209102570976,0.3861706990100257,0.0,300,0.10000000149011612,0.07063557207584381,0.2084457278251648,0.016822699457406998,False,False
10,1.3322992324829102,1.172078788280487,0.462,0.31600547195622436,0.48969246367015884,0.01830507033281137,0.09461656249902331,0.23981705400464076,0.0,0.3242320819112628,10,"[0.5000012769330846, 0.49999842282047846, 3.002464383312238e-07]",0,0.7,0.7000233938962023,0.0006711161695420742,0.0031260282266885042,0.011357387527823448,0.7087787389755249,2.0,0.4896385371685028,1.5812646267932622,0.3962747533542844,0.0,300,0.10000000149011612,0.06202608719468117,0.1864916980266571,0.022116132080554962,False,False
