round,time,val/loss,val/accuracy,val/macro_f1,val/auroc,val/eo_gap,val/fpr_gap,val/sp_gap,val/worst_group_f1,val/worst_group_accuracy,participating_clients,mgda/alphas,pcgrad/num_conflicts,cagrad/rho_used,cagrad/adjustment,duals/lambda_eo,duals/lambda_fpr,duals/lambda_sp,dfbd/avg_tilt,dfbd/eta,dfbd/tilt_std,selector/signal_max,selector/signal_mean,distill/loss,distill/steps,weights/mean,weights/std,weights/max,weights/min,privacy/sa_enabled,privacy/dp_enabled
1,0.7700657844543457,0.6930386871099472,0.506,0.4488550912847701,0.48951544118830365,0.005749680622862852,2.343234120816056e-08,0.10899676910486583,0.0,0.3961352657004831,10,"[0.4999996360509406, 0.500000069905758, 2.940433033939248e-07]",0,0.7,0.842066479722987,0.0,0.0,0.0004449838597793132,0.6504427194595337,2.0,0.4741881489753723,0.9118881815671921,0.4344475945830345,0.0,300,0.10000000149011612,0.050180453807115555,0.16431766748428345,0.0403594970703125,False,False
2,0.7623343467712402,0.6966020166873932,0.528,0.41970257297977814,0.47858832617196934,0.058552302363993114,0.009900966470609486,0.149254957511383,0.0,0.3719806763285024,10,"[0.49999941979514956, 0.5000004015034041, 1.7870144790507804e-07]",0,0.7,0.7939592046735833,0.00021776150970254093,0.0,0.0010912586003541946,0.6500000357627869,2.0,0.47434163093566895,0.9333019539713859,0.44120831167101865,0.0,300,0.10000000149011612,0.05596064776182175,0.17346641421318054,0.03827589750289917,False,False
3,0.7593553066253662,0.697390228509903,0.544,0.503994152352112,0.5034358454432803,0.0465900041019508,2.343234120816056e-08,0.1475480305574809,0.0,0.46859903381642515,10,"[0.500000173292568, 0.499999798208086, 2.849934595838232e-08]",0,0.7,0.7446984573133327,0.00037571153370663524,0.0,0.0017289987299591303,0.6508225202560425,2.0,0.4740596115589142,0.9491059041917324,0.45199314284980285,0.0,300,0.09999999403953552,0.07613246887922287,0.19983486831188202,0.02175009250640869,False,False
4,1.0667791366577148,0.7043606489896774,0.474,0.45982361084296275,0.4663415890181689,0.05403403499004433,2.343234120816056e-08,0.15851661675583217,0.0,0.4251207729468599,10,"[0.5000002073570338, 0.4999997153283546, 7.731461175373586e-08]",0,0.7,0.6873839912756415,0.0005708817043341696,0.0,0.0024215818848460913,0.6756910085678101,2.0,0.47199746966362,0.9807398479789494,0.4618356266140341,0.0,300,0.10000000149011612,0.05591713264584541,0.17049813270568848,0.011655430309474468,False,False
5,1.2562675476074219,0.7002581506967545,0.516,0.46380459444129324,0.49318463444857497,0.05516360183353153,2.343234120816056e-08,0.1568539434573759,0.0,0.4057971014492754,10,"[0.49999930885595373, 0.5000006392866864, 5.185736024272932e-08]",0,0.7,0.6720121011090214,0.0007716997060924768,0.0,0.003105851588770747,0.6566113829612732,2.0,0.47217607498168945,1.0663965187320112,0.47278946068460337,0.0,300,0.09999999403953552,0.06316623836755753,0.18655851483345032,0.028475429862737656,False,False
6,1.3058857917785645,0.709286704659462,0.51,0.5099039411724697,0.4914787814416067,0.049395403767421464,2.343234120816056e-08,0.1481170062087816,0.0,0.4880546075085324,10,"[0.5000004934274562, 0.4999994232572879, 8.331525653589979e-08]",0,0.7,0.6704342979130616,0.0009436767431907356,0.0,0.0037464366760104895,0.888342022895813,2.0,0.5501314401626587,1.1202548269494472,0.4870498073986883,0.0,300,0.09999999403953552,0.07079198211431503,0.22226130962371826,0.021913301199674606,False,False
7,1.2468104362487793,0.7036660611629486,0.538,0.4902710169424205,0.4796182751573086,0.04323833845798386,2.343234120816056e-08,0.14308473265796695,0.0,0.4492753623188406,10,"[0.4999995295206918, 0.5000003081644705, 1.6231483950566862e-07]",0,0.7,0.6640416371319862,0.0010848684469237924,0.0,0.004361860454082489,0.6990891695022583,2.0,0.4679308235645294,1.2421576273498625,0.5102693571738941,0.0,300,0.09999998658895493,0.05980025604367256,0.18454672396183014,0.03468552604317665,False,False
8,1.072150707244873,0.7169530540704727,0.54,0.4081439393939394,0.48848549220296433,0.04826583692393416,2.343234120816056e-08,0.14977967950723786,0.0,0.3864734299516908,10,"[0.4999984684239154, 0.5000015116730249, 1.9903059653145622e-08]",0,0.7,0.6613497065106784,0.0012511976528912783,0.0,0.005010758992284536,0.6502228379249573,2.0,0.47426357865333557,1.348771643762978,0.5311646592059025,0.0,300,0.09999999403953552,0.07572493702173233,0.1945052295923233,0.024899227544665337,False,False
9,1.2967636585235596,0.7073029726743698,0.516,0.45604286921652193,0.4917040827821497,0.041173638392673184,2.343234120816056e-08,0.14455774740598965,0.0,0.4492753623188406,10,"[0.5000013592565815, 0.4999984952865284, 1.4545689117419395e-07]",0,0.7,0.6548995970559311,0.0013820658205077052,0.0,0.005633547902107239,0.6712663769721985,2.0,0.4716154932975769,1.4375404570029904,0.5513626470898052,0.0,300,0.10000000149011612,0.05722147226333618,0.17027123272418976,0.031186731532216072,False,False
10,1.1075072288513184,0.6927684843540192,0.55,0.5366079703429101,0.5221680426141393,0.03185934106093247,2.343234120816056e-08,0.13320984410677122,0.0,0.5410628019323671,10,"[0.5000002542577229, 0.49999967211722673, 7.362505097254454e-08]",0,0.7,0.6684084948307262,0.0014663625042885542,0.0,0.006199597381055355,0.6500476598739624,2.0,0.47432491183280945,1.4550469198399838,0.5715092084930354,0.0,300,0.10000000894069672,0.052525173872709274,0.16610035300254822,0.022550150752067566,False,False
