round,time,val/loss,val/accuracy,val/macro_f1,val/auroc,val/eo_gap,val/fpr_gap,val/sp_gap,val/worst_group_f1,val/worst_group_accuracy,participating_clients,mgda/alphas,pcgrad/num_conflicts,cagrad/rho_used,cagrad/adjustment,duals/lambda_eo,duals/lambda_fpr,duals/lambda_sp,dfbd/avg_tilt,dfbd/eta,dfbd/tilt_std,selector/signal_max,selector/signal_mean,distill/loss,distill/steps,weights/mean,weights/std,weights/max,weights/min,privacy/sa_enabled,privacy/dp_enabled
1,1.561065673828125,0.6975754722952843,0.5005005005005005,0.4393201672250959,0.539460754701784,0.039983685564025095,8.122312248938462e-09,0.241076538609863,0.0,0.39646869983948635,10,"[0.5000003295986799, 0.49999960834499085, 6.205632985763722e-08]",0,0.7,0.7889732112126185,0.0001249184279004112,0.0,0.0011053826892748475,1.0520448684692383,2.0,0.45886126160621643,0.8924272647500038,0.38289737529680135,0.0,300,0.09999998658895493,0.04511835426092148,0.1640208512544632,0.0566396489739418,False,False
2,1.725245475769043,0.7284964397549629,0.46646646646646645,0.32131508609317105,0.5077222020861021,0.00906836324218574,8.122312248938462e-09,0.2258445443653696,0.0,0.3306581059390048,10,"[0.49999946577523857, 0.5000005184496386, 1.577512255382667e-08]",0,0.7,0.7477493877788784,9.526024223305285e-05,0.0,0.002134605310857296,0.8472878336906433,2.0,0.4556935727596283,0.943219918716699,0.38770286077223715,0.0,300,0.10000000894069672,0.04420895129442215,0.15380315482616425,0.0354633629322052,False,False
3,1.7025492191314697,0.8108762428164482,0.46546546546546547,0.3176229508196721,0.5005920019330675,0.014689629955322747,8.122312248938462e-09,0.22839343077707625,0.0,0.3290529695024077,10,"[0.5000015232441313, 0.49999846654508356, 1.021078519931068e-08]",0,0.7,0.6922916673526773,9.370838961331174e-05,0.0,0.003176572499796748,1.005933403968811,2.0,0.45576050877571106,1.036425037116185,0.39853299091517924,0.0,300,0.10000000149011612,0.05904768779873848,0.1944819688796997,0.0271206833422184,False,False
4,1.868927001953125,0.8697312027215958,0.46546546546546547,0.3176229508196721,0.48744311546051305,0.015630345141811386,8.122312248938462e-09,0.2259876342254431,0.0,0.3290529695024077,10,"[0.5000001552272655, 0.4999998353723325, 9.400401980310028e-09]",0,0.7,0.6603094093623266,9.686011617304757e-05,0.0,0.004206510726362467,0.8434184789657593,2.0,0.4873552620410919,1.131936921653487,0.4114221225431153,0.0,300,0.10000000149011612,0.04614007845520973,0.16059456765651703,0.04223131015896797,False,False
5,1.7758872509002686,0.8417107239365578,0.46546546546546547,0.3176229508196721,0.4896540614554387,0.012818067184828918,8.122312248938462e-09,0.22592630999969732,0.0,0.3290529695024077,10,"[0.5000045026859061, 0.499995486649264, 1.0664830174680961e-08]",0,0.7,0.6516303470424667,8.595045073889196e-05,0.0,0.005236142314970493,0.9041093587875366,2.0,0.5723387002944946,1.1926911728123613,0.4264583605057154,0.0,300,0.09999999403953552,0.060171861201524734,0.194765105843544,0.026321982964873314,False,False
6,1.6322765350341797,0.8933835253119469,0.46546546546546547,0.3176229508196721,0.5086021505376344,0.010479436021918809,8.122312248938462e-09,0.22223584953792014,0.0,0.3290529695024077,10,"[0.5000033180872278, 0.499996672168468, 9.74430427973797e-09]",0,0.7,0.6491890539892697,6.334763020277023e-05,0.0,0.006247321609407663,1.0396474599838257,2.0,0.5015709400177002,1.2601297760212977,0.4404488466486435,0.0,300,0.10000000149011612,0.050392549484968185,0.16761858761310577,0.025142207741737366,False,False
7,1.901188850402832,0.9550542682409286,0.46546546546546547,0.3176229508196721,0.5079235632878256,0.0109465044143352,8.122312248938462e-09,0.22345918922231855,0.0,0.3290529695024077,10,"[0.4999999926356076, 0.4999999810918162, 2.627257659777104e-08]",0,0.7,0.6575711978853642,4.308015195420012e-05,0.0,0.007264617830514908,1.0179295539855957,2.0,0.47472065687179565,1.3390141691819788,0.44407234028125153,0.0,300,0.10000000149011612,0.05709313228726387,0.17802661657333374,0.03175153583288193,False,False
8,1.853039026260376,0.9386634901165962,0.46546546546546547,0.3176229508196721,0.5053078812774354,0.0109465044143352,8.122312248938462e-09,0.22345918922231855,0.0,0.3290529695024077,10,"[0.49999949991793224, 0.5000004882213389, 1.186072912536424e-08]",0,0.7,0.6518362318937937,2.2812673705630004e-05,0.0,0.008281913585960865,1.1422297954559326,2.0,0.4875023663043976,1.406043325250384,0.4530238184887784,0.0,300,0.10000000894069672,0.050733160227537155,0.166238933801651,0.0242995023727417,False,False
9,1.6939902305603027,1.0189652293920517,0.46546546546546547,0.3176229508196721,0.506733518585639,0.017972265505549423,8.122312248938462e-09,0.22725185672700543,0.0,0.3290529695024077,10,"[0.5000030176186061, 0.4999969718907831, 1.0490611059412766e-08]",0,0.7,0.6501335325126727,3.7673999031540006e-05,0.0,0.009318172931671143,1.1978867053985596,2.0,0.5334547162055969,1.4757652008399695,0.4617921552266015,0.0,300,0.10000000149011612,0.050856854766607285,0.16374801099300385,0.020684394985437393,False,False
10,1.748826026916504,0.9884842932224274,0.46546546546546547,0.3176229508196721,0.5070597237324312,0.009074941643841594,8.122312248938462e-09,0.22099206844493974,0.0,0.3290529695024077,10,"[0.5000022578126209, 0.49999772975810336, 1.242927559190731e-08]",0,0.7,0.6524098646051723,8.04870796855539e-06,0.0,0.010323133319616318,1.179930329322815,2.0,0.5893272757530212,1.5260484605907199,0.469823622551851,0.0,300,0.09999999403953552,0.05288868397474289,0.1930188238620758,0.04071706160902977,False,False
11,1.7839241027832031,0.9963393062353134,0.46546546546546547,0.3176229508196721,0.5129213483146067,0.015630345141811386,8.122312248938462e-09,0.2259876342254431,0.0,0.3290529695024077,10,"[0.4999994730232124, 0.5000005121309088, 1.4845878602436739e-08]",0,0.7,0.6560937272134901,1.1200433618796524e-05,0.0,0.01135307177901268,1.0535752773284912,2.0,0.498642235994339,1.628392968703401,0.4791016873851426,0.0,300,0.10000000894069672,0.05595340579748154,0.16604354977607727,0.023173382505774498,False,False
