round,time,val/loss,val/accuracy,val/macro_f1,val/auroc,val/eo_gap,val/fpr_gap,val/sp_gap,val/worst_group_f1,val/worst_group_accuracy
0,0.13732600212097168,0.692211925983429,0.524,0.4917223351728144,0.5171148554048183,0.03513931888544891,0.05349267321098308,0.001665265205849864,0.2905027882825131,0.463768115942029
1,0.13419580459594727,0.6934011876583099,0.518,0.500727156713666,0.5168734611113793,0.03815789473684211,0.10613173993455688,0.02361049281957428,0.31840795518229753,0.4975845410628019
2,0.15293097496032715,0.6946668177843094,0.506,0.4939996968095349,0.5164067654773974,0.039164086687306476,0.14255228339735382,0.04524245272130717,0.3192488213194032,0.5051194539249146
3,0.13135194778442383,0.6957525312900543,0.52,0.5080273536791354,0.516728624535316,0.061222910216718274,0.1223502631953336,0.01709782196501297,0.32535884668482873,0.5187713310580204
4,0.14507079124450684,0.6965638697147369,0.524,0.510843650832799,0.5158917909847278,0.07174922600619194,0.10719874804381846,0.003445944831907133,0.32195121450755515,0.5217391304347826
5,0.13956689834594727,0.6973025947809219,0.522,0.5091172737318178,0.5158113262202482,0.07174922600619194,0.11224925309432349,0.006858914115183579,0.32038834451362064,0.5217391304347826
6,0.14184999465942383,0.6976189762353897,0.518,0.5050094684910799,0.5157308614557685,0.06439628482972132,0.11729975814482857,0.015102801272856181,0.3188405747130622,0.5169082125603864
7,0.12665247917175293,0.6977058500051498,0.526,0.5104903771082994,0.5156664896441848,0.0854489164086687,0.08699672784179824,0.01220095299335544,0.3115577839236384,0.5169082125603864
8,0.14204668998718262,0.6977884024381638,0.524,0.5087840961627369,0.5153446305862662,0.0854489164086687,0.07291222079954474,0.017031870867751542,0.3115577839236384,0.5120772946859904
9,0.12999963760375977,0.6976802051067352,0.526,0.5097613344420588,0.5143307745538229,0.09597523219814241,0.06281121069853463,0.02727077871758088,0.3061224439530405,0.5120772946859904
10,0.1751258373260498,0.6975966989994049,0.526,0.5112011252686331,0.513413476238755,0.11068111455108359,0.053777208706786206,0.03835056305749285,0.3045685228941741,0.5169082125603864
11,0.14843177795410156,0.6973587572574615,0.53,0.5131571860071017,0.5118524598078502,0.11385448916408669,0.05271020059752457,0.04234060444180643,0.30051812968509234,0.5169082125603864
12,0.14926838874816895,0.697121649980545,0.526,0.5082477435418612,0.5107903249167189,0.11702786377708979,0.05271020059752457,0.04092265585068672,0.29166666163682736,0.5120772946859904
13,0.13018345832824707,0.6969127953052521,0.53,0.5131571860071017,0.5104362799530086,0.07809597523219813,0.05271020059752457,0.025852830126461224,0.3179487129193952,0.5072463768115942
14,0.1526496410369873,0.6967397481203079,0.532,0.5156001589825119,0.5112892064564927,0.0854489164086687,0.033575188504765985,0.03892763515852998,0.3195876238351579,0.5072463768115942
15,0.135023832321167,0.6965770572423935,0.53,0.5131571860071017,0.5119168316194338,0.07809597523219813,0.033575188504765985,0.034096717284133826,0.3195876238351579,0.5024154589371981
16,0.1934974193572998,0.6962220668792725,0.528,0.5099342148979998,0.5119168316194339,0.08126934984520123,0.028524683454260957,0.036091737976290617,0.3124999949679905,0.4975845410628019
17,0.2956876754760742,0.6960451751947403,0.528,0.5083333333333333,0.5118041809491622,0.06656346749226005,0.03755868544600938,0.025011953636378648,0.31413612062169355,0.4927536231884058
18,0.4098219871520996,0.6958675235509872,0.524,0.5015999061835118,0.5118524598078501,0.09078947368421053,0.04659268743775785,0.029001995020692173,0.28877004844633825,0.4927536231884058
19,0.2646057605743408,0.6955696493387222,0.524,0.5007048872180451,0.5124478990649993,0.08343653250773997,0.041542182387252824,0.027584046429572462,0.2903225756162563,0.48792270531400966
